ANAKIN	there iscan not a droid made that can out fly you master and no other way to get to the chancellor  
OBI-WAN	look out four droids inbound  
===	===
OBI-WAN	we are got to split them up
ANAKIN	break left fly through the guns on that tower
OBI-WAN	easy for you to say   why am i always the bait
ANAKIN	docan not worry ilet us coming around behind you
OBI-WAN	anakin they am all over me
ANAKIN	dead ahead closing   lock onto him artoo   we got him artoo i copy artoo
OBI-WAN	ilet us going down on the deck
ANAKIN	good idea   i need some room to maneuver cut right do you hear me cut right docan not let him get a handle on you come on artoo lock on lock on
OBI-WAN	hurry up i docan not like this ouch docan not even try to fix it arfour i are shut it down
ANAKIN	we am locked on   we are got him   yeah we got him   good going artoo
OBI-WAN	next time you am the bait   now would not find the command ship and get on with it  
ANAKIN	lock onto them artoo master general grievous will ship is directly ahead the one crawling with vulture droids
===	===
OBI-WAN	i see it oh this is going to be easy
ANAKIN	come on master
OBI-WAN	not this time there will too much at stake we need help odd ball do you copy
ODD BALL	copy red leader
OBI-WAN	mark my position and form your squad up behind me  
===	===
ODD BALL	we am on your tail general kenobi set sfoils in attack position
===	===
ANAKIN	this is where the fun begins ten vulture droids straight ahead coming down the left side
OBI-WAN	add five trifighters on the right  
ANAKIN	ilet us going head to head see you
OBI-WAN	take it easy anakin
ODD BALL	ilet us on your right red leader
ANAKIN	incoming
OBI-WAN	five more on the right
ANAKIN	here we go
OBI-WAN	ilet us going high and right
ANAKIN	hang on there are four more of them
OBI-WAN	stay with me   swing back and right   help me engage back off   let them pass between us
ANAKIN	ilet us coming around ilet us coming around on your tail
OBI-WAN	all right engage   and hurry these droids are all over me like a rash
ANAKIN	how many back there artoo  three    four   that will not good
OBI-WAN	anakin you have four on your tail
ANAKIN	i know i know
OBI-WAN	four more closing from your left
ANAKIN	i know i know
OBI-WAN	break right and go high
ANAKIN	ilet us going low and left
OBI-WAN	he still has much to learn
ANAKIN	hang on artoo obiwan do you copy ilet us going to pull them through the needle  
OBI-WAN	too dangerous first jedi rule  survive 
ANAKIN	sorry no choice come down here and thin them out a little
OBI-WAN	just keep me steady   hold on   not yet  now break left you have never get through there anakin it will too tight
ANAKIN	easy artoo   we are done this before
OBI-WAN	use the force think yourself through the ship will follow
ANAKIN	wrong thought artoo ilet us through
ODD BALL	there are too many of them
CLONE PILOT 2	ilet us on your wing break left break left they am all over me get them off my  
ANAKIN	ilet us going to go help them out
OBI-WAN	no no they are doing their job so we can do ours head for the command ship
ANAKIN	missiles pull up
OBI-WAN	they overshot us  
ANAKIN	they am coming around
OBI-WAN	all right arfour no no nothing too fancy
ANAKIN	surge all power units artoo stand by the reverse thrusters we got  not artoo
OBI-WAN	flying is for droids ilet us hit anakin
ANAKIN	i see them   buzz droids
OBI-WAN	arfour be careful you have one   oh dear they am shutting down all the controls
ANAKIN	move to the right so i can get a clear shot at them
OBI-WAN	the mission get to the command ship get the chancellor ilet us running out of tricks here in the name of  
ANAKIN	steady   steady  
OBI-WAN	anakin hold your fire   hold your fire you am not helping here
ANAKIN	i agree bad idea swing right   ease over   steady  
OBI-WAN	wait   wait   i  had see a thing my cockpit will fogging they am all over me anakin
ANAKIN	move to the right
OBI-WAN	hold on anakin you am going to get us both killed get out of here there will nothing more you can do
ANAKIN	ilet us not leaving without you master
OBI-WAN	blast it   i  had see   my controls are gone
ANAKIN	get  not artoo watch out
OBI-WAN	artoo hit the buzz droid will center eye
ANAKIN	yeah you got him
OBI-WAN	great artoo
ANAKIN	stay on my wing   the general will command ship is dead ahead easy   pull up   head for the hangar
OBI-WAN	have you noticed the shields are still up
ANAKIN	oh sorry master
OBI-WAN	oh i have a bad feeling about this
===	===
OBI-WAN	artoo locate the chancellor
ANAKIN	tap into the ship will computers
OBI-WAN	the chancellor will signal is coming from right there the observation platform at the top of that spire
ANAKIN	i sense count dooku  
OBI-WAN	i sense a trap
ANAKIN	next move
OBI-WAN	spring the trap
ANAKIN	artoo go back i need you to stay with the ship
OBI-WAN	here take this and wait for orders
===	===
GENERAL GRIEVOUS	what will the situation captain
CAPTAIN	two jedi have landed in the main hangar bay
GENERAL GRIEVOUS	just as count dooku predicted
===	===
BODYGUARD I	general kenobi anakin skywalker we are been waiting for you
OBI-WAN	we are here to relieve you of chancellor palpatine not join him anakin 
ANAKIN	ready
===	===
OBI-WAN	  fuel the slightest charge from our sabers will send this ship into oblivion that will why they are stopped shooting
ANAKIN	well then we am safe for the time being
OBI-WAN	your idea of safe is not the same as mine
ANAKIN	they am sealing this section off
OBI-WAN	six droids coming our way
ANAKIN	keep moving there must be vents   this way
OBI-WAN	we have never get through that it will too small
ANAKIN	i found our escape vent
OBI-WAN	anakin this is no time for jokes we am in serious trouble here
ANAKIN	only in your mind my master look no structure  
===	===
ANAKIN	here will a way out
===	===
OBI-WAN	that will not hold when the fuel hits those power dischargers
ANAKIN	the blast will break the hull this side will pressurized
OBI-WAN	you still have much to learn anakin
===	===
SUPER BATTLE DROID R77	i have a bad feeling about this
===	===
OBI-WAN	all right you win i have much to learn let will go
===	===
ANAKIN	destroyers
BATTLE DROID	drop your weapons i said drop  not
===	===
OBI-WAN	did you press the stop button
ANAKIN	no did you
OBI-WAN	no
ANAKIN	well there will more than one way out of here
OBI-WAN	we docan not want to get out we want to get moving artoo   artoo do you copy activate elevator      31174  
===	===
SUPER BATTLE DROID 1	what will that
SUPER BATTLE DROID 2	get back to work it will nothing
===	===
OBI-WAN	artoo always on the move
===	===
OBI-WAN	artoo switch on the comlink artoo do you hear me artoo we gave you a job to do artoo
===	===
OBI-WAN	stop stop artoo we need to be going up
===	===
DROID 1	hands up jedi docan not move
DROID 2	roger roger
===	===
SUPER BATTLE DROID 1	there it is again
OBI-WAN	artoo do you copy artoo do you hear me artoo we need to be going up not down
===	===
OBI-WAN	stop artoo we need to go up stop stop
===	===
SUPER BATTLE DROID 1	hey you
===	===
OBI-WAN	now that will better  
===	===
SUPER BATTLE DROID 1	you stupid little astro droid
===	===
OBI-WAN	oh it will you  
===	===
ANAKIN	what was that all about
OBI-WAN	well artoo has been  
ANAKIN	no loose wire jokes   he will doing the best he can
OBI-WAN	did i say anything
ANAKIN	he will trying
OBI-WAN	i didcan not say anything
===	===
OBI-WAN	chancellor
ANAKIN	are you all right
DARTH SIDIOUS	count dooku
OBI-WAN	this time we will do it together
ANAKIN	i was about to say that
DARTH SIDIOUS	get help you am no match for him he will a sith lord
OBI-WAN	chancellor palpatine sith lords are our specialty
COUNT DOOKU	your swords please master jedi we docan not want to make a mess of things in front of the chancellor
OBI-WAN	you will not get away this time dooku
COUNT DOOKU	i are been looking forward to this
ANAKIN	my powers have doubled since the last time we met count
COUNT DOOKU	good twice the pride double the fall your moves are clumsy kenobi   too predictable you have have to do better i sense great fear in you skywalker you have hate you have anger but you docan not use them
===	===
DARTH SIDIOUS	good anakin good i knew you could do it kill him kill him now
ANAKIN	i shouldcan not  
DARTH SIDIOUS	do it
ANAKIN	  i couldcan not stop myself
DARTH SIDIOUS	you did well anakin he was too dangerous to be kept alive
ANAKIN	yes but he was an unarmed prisoner i shouldcan not have done that chancellor it will not the jedi way
DARTH SIDIOUS	it is only natural he cut off your arm and you wanted revenge it wascan not the first time anakin remember what you told me about your mother and the sand people now we must leave before more security droids arrive anakin there is no time we must get off the ship before it will too late
ANAKIN	he seems to be all right no broken bones breathing will all right
DARTH SIDIOUS	leave him or we have never make it
ANAKIN	his fate will be the same as ours
===	===
GENERAL GRIEVOUS	prepare for attack
PILOT	all batteries fire fire
===	===
ANAKIN	the elevator will not working  artoo     activate elevator 3224 artoo   do you copy artoo come in
===	===
PILOT	reverse stabilizers
===	===
PILOT	magnetize magnetize
===	===
ANAKIN	we  had wait come on we have to be fast
===	===
GENERAL GRIEVOUS	fire the emergency booster engines
PILOT	leveling out sir
===	===
ANAKIN	easy   we am in a bit of a situation
OBI-WAN	did i miss something
ANAKINN	hold on
OBI-WAN	what is that oops
ANAKIN	artoo artoo shut down the elevator
OBI-WAN	too late jump
===	===
OBI-WAN	let will see if we can find something in the hangar bay that will still flyable come on
ANAKIN	artoo get down here artoo do you copy
===	===
OBI-WAN	none of those ships will get us anywhere
ANAKIN	i agree
DARTH SIDIOUS	what are we going to do
ANAKIN	i docan not know
OBI-WAN	docan not look at me i docan not know
ANAKIN	here chancellor lock this around your waist and hold on
OBI-WAN	we have head toward the bridge and see if we can find an escape pod
===	===
ANAKIN/	well that was close
===	===
BODYGUARD	general we found the jedi they am in hallway 328
GENERAL GRIEVOUS	activate ray shields
===	===
ANAKIN	ray shields
OBI-WAN	wait a minute how is this happen we am smarter than this
ANAKIN	apparently not master this is the oldest trap in the book   well   i was distracted
OBI-WAN	oh so all of a sudden it will my fault
ANAKIN	you am the master ilet us just a hero
OBI-WAN	ilet us open to suggestions here
DARTH SIDIOUS	why docan not we let them take us to general grievous perhaps with count dooku will demise we can negotiate our release
ANAKIN	i say   patience
OBI-WAN	patience that will your plan is it
ANAKIN	yes artoo will be along in a few moments and he have release the ray shields   see no problem
SUPER BATTLE DROID	docan not move dummy ouch zap this
OBI-WAN	do you have a plan b
===	===
GENERAL GRIEVOUS	oh yes general kenobi the negotiator we are been waiting for you that wascan not much of a rescue
OBI-WAN	that depends upon your point of view hah
GENERAL GRIEVOUS	and anakin skywalker   i was expecting someone with your reputation to be a little older
ANAKIN	general grievous   supreme commander of the droid armies you am shorter than i expected
GENERAL GRIEVOUS	ahhhh jedi scum  
OBI-WAN	anakin try not to upset him we have a job to do
GENERAL GRIEVOUS	your lightsabers will make a fine addition to my collection
OBI-WAN	not this time and this time you will not escape
ANAKIN	artoo
GENERAL GRIEVOUS	crush them make them suffer stay and watch your stations
PILOT	sir we are falling out of orbit all aft control cells are dead
GENERAL GRIEVOUS	stay on course   docan not bother with them keep the ship in orbit you lose general kenobi
PILOT	the ship is breaking up
GENERAL GRIEVOUS	we are run out of time
===	===
DARTH SIDIOUS	the hull is burning up
===	===
GENERAL GRIEVOUS	time to abandon ship
===	===
ANAKIN	all the escape pods have been launched
OBI-WAN	grievous can you fly a cruiser like this
ANAKIN	you mean do i know how to land what will left of this thing
OBI-WAN	well
ANAKIN	under the circumstances i is say the ability to pilot this thing is irrelevant strap yourselves in
OBI-WAN	steady   attitude   eighteen degrees
ANAKIN	pressure rising we are got to slow this wreck down open all hatches extend all flaps and drag fins
OBI-WAN	temp steady hatches open flaps extended drag fins  
ANAKIN	we lost something
OBI-WAN	not to worry we am still flying half the ship
ANAKIN	now we am really picking up speed   ilet us going to shift a few degrees and see if i can slow us down
OBI-WAN	careful   we am heating uptwelve thousand   thirteen thousand  
ANAKIN	what will our speed
OBI-WAN	eight plus sixtyforty eight plus sixtytwenty eight plus sixty temp ten thousand nine thousand   we am in the atmosphere  
ANAKIN	grab that   keep us level
OBI-WAN	steady steady
ANAKIN	easy artoo hang on this may get a little rough we lost our heat shields
OBI-WAN	five thousand three thousand   two thousand fireships on the left and the right
FIRESHIP PILOT	we have take you in
OBI-WAN	copy that landing strip will straight ahead
ANAKIN	we am coming in too hot
OBI-WAN	easyeasy
===	===
OBI-WAN	another happy landing
===	===
ANAKIN	are you coming master
OBI-WAN	oh no ilet us not brave enough for politics i have to report to the council besides someone needs to be the poster boy
ANAKIN	hold on this whole operation was your idea you planned it you led the rescue operation you have to be the one to take the bows this time
OBI-WAN	sorry old friend let us not forget that you rescued me from the buzz droids and you killed count dooku and you rescued the chancellor carrying me unconscious on your back and you managed to land that bucket of bolts safely  
ANAKIN	all because of your training master you deserve all those speeches of your greatness
OBI-WAN	  the endless speeches   anakin would not be fair today you are the hero and you deserve your glorious day with the politicians
ANAKIN	all right but you owe me   and not for saving your skin for the tenth time  
OBI-WAN	ninth time   that business on cato nemoidia doescan not count i have see you at the briefing
MACE WINDU	chancellor palpatine what a welcome sight are you all right
DARTH SIDIOUS	yes thanks to your two jedi knights they killed count dooku but general grievous has escaped once again
MACE WINDU	general grievous will run and hide as he always does he is a coward
DARTH SIDIOUS	that maybe true but with count dooku dead he is the leader of the droid army and i assure you the senate will vote to continue the war as long as grievous is alive
MACE WINDU	then the jedi council will make finding grievous our highest priority
BAIL ORGANA	skywalker the republic cannot praise you enough
ANAKIN	thank you senator organa the kidnapping was a bold move by the separatists but it was a mistake that obiwan and i were able to take advantage of
C-3PO	it couldcan not possibly be as bad as all that well there i agree with you in fact i could do with a tuneup myself
===	===
BAIL ORGANA	the end of count dooku will surely bring an end to this war and an end to the chancellor will draconian security measures
ANAKIN	i wish that were so but the fighting is going to continue until general grievous is spare parts   the chancellor is very clear about that
BAIL ORGANA	i have do everything i can with the senate
ANAKIN	excuse me
BAIL ORGANA	certainly
PADME	oh anakin thank goodness you am back
ANAKIN	i missed you padme i are missed you so
PADME	there were whispers   that you is been killed i are been living with unbearable dread
ANAKIN	ilet us back ilet us all right it feels like we are been apart for a lifetime and it might have been   if the chancellor hadcan not been kidnapped i docan not think they would have ever brought us back from the outer rim sieges
PADME	wait not here  
ANAKIN	yes here ilet us tired of all this deception i docan not care if they know we am married
PADME	anakin docan not say things like that you am important to the republic   to ending this war i love you more than anything but i will not let you give up your life as a jedi for me  
ANAKIN	i are given my life to the jedi order but i is only give up my life for you
PADME	i wouldcan not like that i wouldcan not like that one bit patience my handsome jedi   come to me later
ANAKIN	are you all right you am trembling what will going on
PADME	ilet us just excited to see you
ANAKIN	that will not it i sense more   what is it
PADME	nothing   nothing  
ANAKIN	you am frightened  tell me what will going on
PADME	you are been gone five months   it will been very hard for me i are never felt so alone there will  
ANAKIN	  is there someone else
PADME	no why do you think that your jealousy upsets me so much anakin i do nothing to betray you yet you still docan not trust me nothing has changed
ANAKIN	ilet us afraid of losing you padme   that will all
PADME	i will never stop loving you anakin my only fear is losing you
ANAKIN	it will just that i are never seen you like this  
PADME	something wonderful has happened ilet us   annie ilet us pregnant
ANAKIN	that will   that will wonderful
PADME	what are we going to do
ANAKIN	we am not going to worry about anything right now all right this is a happy moment the happiest moment of my life
===	===
SUPER BATTLE DROID G21	the planet is secure sir the population is under control
GENERAL GRIEVOUS	good where is the separatist council
SUPER BATTLE DROID G21	this way sir  
===	===
GENERAL GRIEVOUS	yes lord sidious
DARTH SIDIOUS	general grievous i suggest you move the separatist leaders to mustafar
GENERAL GRIEVOUS	it will be done my lord
DARTH SIDIOUS	the end of the war is near general and i promise you victory is assured
GENERAL GRIEVOUS	but the loss of count dooku
DARTH SIDIOUS	his death was a necessary loss which will ensure our victory soon i will have a new apprentice   one far younger and more powerful than lord tyranus
===	===
ANAKIN	  every second i was thinking of you protecting the endless nameless outer rim settlements became a torture   the battles were easy the longing became unbearable   i are never been so happy as i am at this moment
PADME	annie i want to have our baby back home on naboo we could go to the lake country where no one would know   where we would be safe i could go earlyand fix up the baby will room i know the perfect spot right by the gardens
ANAKIN	you are so beautiful
PADME	it will only because ilet us so in love  
ANAKIN	no it will because ilet us so in love with you
PADME	so love has blinded you
ANAKIN	well that will not exactly what i meant  
PADME	but it will probably true
ANAKIN	i havecan not laughed in so long  
PADME	neither have i
===	===
PADME	anakin help me help anakin anakin i love you i love you
===	===
PADME	anakin
===	===
PADME	what will bothering you
ANAKIN	nothing   i remember when i gave this to you
PADME	anakin how long is it going to take for us to be honest with each other
ANAKIN	it was a dream
PADME	bad
ANAKIN	like the ones i used to have about my mother just before she died
PADME	and
ANAKIN	it was about you
PADME	tell me
ANAKIN	it was only a dream you die in childbirth  
PADME	and the baby
ANAKIN	i docan not know
PADME	it was only a dream
ANAKIN	  i will not let this one become real padme
PADME	anakin this baby will change our lives i doubt the queen will continue to allow me to serve in the senate and if the council discovers you are the father you will be expelled from the jedi order
ANAKIN	i know бн
PADME	anakin do you think obiwan might be able to help us
ANAKIN	have you told him anything
PADME	no but he will your mentor your best friend   he must suspect something
ANAKIN	he will been a father to me but he will still on the council docan not tell him anything
PADME	i will not anakin
ANAKIN	i docan not need his help   our baby is a blessing not a problem
===	===
YODA	premonitions   premonitions   hmmmm   these visions you have  
ANAKIN	they are of pain suffering death  
YODA	yourself you speak of or someone you know
ANAKIN	someone  
YODA	  close to you
ANAKIN	yes
YODA	careful you must be when sensing the future anakin the fear of loss is a path to the dark side
ANAKIN	i will not let these visions come true master yoda
YODA	death is a natural part of life rejoice for those around you who transform into the force mourn them do not miss them do not attachment leads to jealousy the shadow of greed that is
ANAKIN	what must i do master yoda
YODA	train yourself to let go of everything you fear to lose
===	===
OBI-WAN	you missed the report on the outer rim sieges
ANAKIN	ilet us sorry i was held up i have no excuse
OBI-WAN	in short they are going very well saleucami has fallen and master vos has moved his troops to boz pity
ANAKIN	what will wrong then
OBI-WAN	the senate is expected to vote more executive powers to the chancellor today
ANAKIN	well that can only mean less deliberating and more action is that bad it will make it easier for us to end this war
OBI-WAN	anakin be careful of your friend palpatine
ANAKIN	be careful of what
OBI-WAN	he has requested your presence
ANAKIN	what for
OBI-WAN	he would not say
ANAKIN	he didcan not inform the jedi council that will unusual iscan not it
OBI-WAN	all of this is unusual and it will making me feel uneasy you am probably aware that relations between the council and the chancellor are stressed
ANAKIN	i know the council has grown wary of the chancellor will power mine also for that matter arecan not we all working together to save the republic why all this distrust
OBI-WAN	the force grows dark anakin and we are all affected by it be wary of your feelings
===	===
DARTH SIDIOUS	anakin this afternoon the senate is going to call on me to take direct control of the jedi council
ANAKIN	the jedi will no longer report to the senate
DARTH SIDIOUS	they will report to me   personally the senate is too unfocused to conduct a war this will bring a quick end to things
ANAKIN	i agree but the jedi council may not see it that way
DARTH SIDIOUS	there are times when we must all endure adjustments to the constitution in the name of security
ANAKIN	with all due respect sir the council is in no mood for more constitutional amendments
DARTH SIDIOUS	thank you my friend but in this case i have no choice   this war must be won
ANAKIN	everyone will agree on that
DARTH SIDIOUS	anakin i are known you since you were a small boy i have advised you over the years when i could   i am very proud of your accomplishments you have won many battles the jedi council thought were lost   and you saved my life i hope you trust me anakin
ANAKIN	of course
DARTH SIDIOUS	i need your help son
ANAKIN	what do you mean
DARTH SIDIOUS	i fear the jedi the council keeps pushing for more control they am shrouded in secrecy and obsessed with maintaining their autonomy   ideals i find simply incomprehensible in a democracy
ANAKIN	i can assure you that the jedi are dedicated to the values of the republic sir
DARTH SIDIOUS	nevertheless their actions will speak more loudly than their words ilet us depending on you
ANAKIN	for what i docan not understand
DARTH SIDIOUS	to be the eyes ears and voice of the republic   anakin   ilet us appointing you to be my personal representative on the jedi council
ANAKIN	me a master i am overwhelmed sir but the council elects its own members they will never accept this
DARTH SIDIOUS	i think they will   they need you more than you know
===	===
BAIL ORGANA	now that he has control of the jedi council the chancellor has appointed governors to oversee all star systems in the republic
FANG ZAR	when did this happen
BAIL ORGANA	the decree was posted this morning
PADME	do you think he will dismantle the senate
MON MOTHMA	why bother as a practical matter the senate no longer exists
GIDDEAN DANU	the constitution is in shreds amendment after amendment   executive directives sometimes a dozen in one day
BAIL ORGANA	we  had let a thousand years of democracy disappear without a fight
TERR TANEEL	what are you suggesting
BAIL ORGANA	i apologize i didcan not mean to sound like a separatist
MON MOTHMA	we are not separatists trying to leave the republic we are loyalists trying to preserve democracy in the republic
BAIL ORGANA	it has become increasingly clear to many of us that the chancellor has become an enemy of democracy
PADME	i  had believe it has come to this chancellor palpatine is one of my oldest advisors he served as my ambassador when i was queen
GIDDEAN DANU	senator i fear you underestimate the amount of corruption that has taken hold in the senate
MON MOTHMA	the chancellor has played the senators well they know where the power lies and they will do whatever it takes to share in it palpatine has become a dictator and we have helped him to do it
BAIL ORGANA	we  had sit around debating any longer we have decided to do what we can to stop it senator mon mothma and i are putting together an organization  
PADME	say no more senator organa i understand at this point it will better to leave some things unsaid
BAIL ORGANA	yes i agree and we must not discuss this with anyone without everyone in this group agreeing
MON MOTHMA	that means those closest to you   even family   no one can be told
PADME	agreed
===	===
MACE	anakin skywalker we have approved your appointment to the council as the chancellor will personal representative
ANAKIN	i will do my best to uphold the principles of the jedi order
YODA	allow this appointment lightly the council does not disturbing is this move by chancellor palpatine
ANAKIN	i understand
MACE	you are on this council but we do not grant you the rank of master
